username,distinct_play_days,total_valid_betting,last_play_date,days_since_last_play,status
pa2014,22,15586188.0,2022-12-25,875,휴면
ui032,216,15582412.0,2022-09-26,965,휴면
pi3804,105,15338161.0,2025-04-15,33,휴면
pm3002,309,14743102.0,2024-06-28,324,휴면
ui034,48,14737728.0,2022-03-04,1171,휴면
ja3004,168,14680724.0,2025-04-22,26,활성
juaw012,46,14332200.0,2024-02-03,470,휴면
uh013c,15,14140946.0,2021-12-13,1252,휴면
ua003e,46,13890132.0,2022-08-03,1019,휴면
ji3500,158,13878841.0,2025-04-12,36,휴면
abja002,93,13765578.0,2024-01-03,501,휴면
obuc002,32,13758516.0,2025-02-19,88,휴면
ji3104,317,13690888.0,2025-05-08,10,활성
uc01,127,13657864.0,2022-09-21,970,휴면
jia118,111,13219591.0,2022-09-23,968,휴면
juw039,518,12665158.0,2025-05-07,11,활성
uddw003,58,12544297.0,2024-12-13,156,휴면
pa2039,520,12476653.0,2023-09-06,620,휴면
yaa139,116,12338622.0,2022-09-06,985,휴면
hn5011,250,12229924.0,2025-05-08,10,활성
hna129,206,12222605.0,2022-09-16,975,휴면
uq3111,472,11175058.0,2025-04-23,25,활성
jua137,60,10769410.0,2022-09-20,971,휴면
ue3001,150,10558603.0,2025-04-07,41,휴면
uddw002,145,10468696.0,2025-03-15,64,휴면
dd2002,114,10234257.0,2023-08-03,654,휴면
jua124,113,10105189.0,2022-09-19,972,휴면
uc3002,41,9917025.0,2024-12-26,143,휴면
jua188,189,9539365.0,2022-08-29,993,휴면
obnn003,195,9435906.0,2025-05-08,10,활성
qyi3111,223,9426062.0,2025-05-08,10,활성
hn3123,497,9337723.0,2025-05-08,10,활성
xja3002,41,9181880.0,2025-05-07,11,활성
ja3121,68,9129223.0,2024-11-21,178,휴면
abyaa195,51,9082943.0,2024-03-20,424,휴면
ja3239,84,8886613.0,2025-05-07,11,활성
ub2021,169,8798740.0,2022-10-05,956,휴면
lia131,21,8339418.0,2022-09-20,971,휴면
liaw131,53,7801560.0,2024-07-27,295,휴면
md8889k,181,7674680.0,2024-12-09,160,휴면
hn3125,185,7626706.0,2025-05-07,11,활성
xua3801,114,7541283.0,2025-03-27,52,휴면
abya104,40,7446955.0,2024-04-08,405,휴면
ya109,29,7416328.0,2022-08-23,999,휴면
uk3806,259,7410745.0,2025-05-08,10,활성
abua002,32,7389932.0,2023-07-08,680,휴면
abya506,23,7358588.0,2024-04-04,409,휴면
mdysw001,121,7073300.0,2024-12-09,160,휴면
yaa140c,23,6865647.0,2022-09-16,975,휴면
ue2007,293,6790294.0,2023-02-02,836,휴면
py2001,68,6738959.0,2023-07-12,676,휴면
ue3007,111,6561460.0,2024-11-26,173,휴면
abdd202,136,6453613.0,2024-05-22,361,휴면
bb3002,91,6354218.0,2025-04-14,34,휴면
ya2105,48,6308677.0,2023-09-16,610,휴면
ya2195,108,6185761.0,2023-11-15,550,휴면
ub019,235,6032324.0,2022-10-04,957,휴면
ya2172,179,5957847.0,2023-05-08,741,휴면
uj002,52,5929290.0,2022-09-13,978,휴면
un3802,58,5867845.0,2025-03-20,59,휴면
ja2149,153,5739157.0,2023-02-06,832,휴면
abud001,188,5667921.0,2024-08-21,270,휴면
hh3803,73,5449498.0,2025-03-05,74,휴면
ya3002,178,5429855.0,2025-05-08,10,활성
ug3802,114,5383442.0,2025-05-02,16,활성
ee3003,15,5205273.0,2023-11-01,564,휴면
abub009,26,5179984.0,2023-04-10,769,휴면
abua024,29,5049187.0,2024-12-17,152,휴면
dd3801,71,5027141.0,2025-02-21,86,휴면
ub3006,181,5020390.0,2025-05-08,10,활성
yaa132,68,4951589.0,2022-04-30,1114,휴면
uq2111,316,4904822.0,2023-09-20,606,휴면
hnaw129,286,4701700.0,2025-05-08,10,활성
lia121,200,4393074.0,2022-09-21,970,휴면
un3801,92,4392390.0,2024-07-24,298,휴면
ddw001,335,4374529.0,2025-04-07,41,휴면
ya3130,106,4357835.0,2025-03-15,64,휴면
ya3141,76,4344773.0,2024-07-23,299,휴면
uzz02,90,4314221.0,2022-10-05,956,휴면
ub2017,64,4259985.0,2022-11-18,912,휴면
abtt002,83,4243109.0,2023-11-20,545,휴면
pi007,59,4227953.0,2022-05-03,1111,휴면
uq3001,788,4205639.0,2025-05-01,17,활성
linlin88,95,4191700.0,2025-02-07,100,휴면
yaaw206,125,4185300.0,2025-02-11,96,휴면
uc3803,29,4089033.0,2025-05-06,12,활성
qju2155,56,4081073.0,2023-11-23,542,휴면
hn2103,88,4036004.0,2023-08-30,627,휴면
ui2009,64,3963891.0,2024-01-03,501,휴면
pva029,51,3959746.0,2022-08-17,1005,휴면
uq2010,136,3957327.0,2022-10-08,953,휴면
ua022,97,3920587.0,2022-03-05,1170,휴면
jua05,67,3895334.0,2022-09-20,971,휴면
qub2008,40,3849831.0,2023-02-20,818,휴면
ph002,65,3808885.0,2022-08-08,1014,휴면
uu2003,238,3751445.0,2023-10-22,574,휴면
yaw117,113,3728000.0,2025-04-23,25,활성
obud002,65,3704877.0,2025-05-07,11,활성
ue2001,72,3685371.0,2023-09-17,609,휴면
ukkw002,77,3681700.0,2025-03-13,66,휴면
pi3008,148,3629175.0,2025-02-05,102,휴면
qya2139,52,3626913.0,2023-10-24,572,휴면
uabw001,78,3620093.0,2023-02-10,828,휴면
vip02,91,3618600.0,2025-02-07,100,휴면
abua001,22,3587025.0,2023-01-14,855,휴면
qja2124,52,3585084.0,2023-03-27,783,휴면
ubb002,37,3545790.0,2022-10-04,957,휴면
xpi3806,64,3461028.0,2025-04-23,25,활성
ggw001,41,3406500.0,2025-04-30,18,활성
mm3801,125,3399376.0,2025-05-04,14,활성
qpm2501,12,3362070.0,2023-07-21,667,휴면
ue2015,194,3347904.0,2023-10-29,567,휴면
ya2207,94,3341814.0,2024-02-25,448,휴면
ub2023,126,3336759.0,2023-06-04,714,휴면
xul3802,72,3331070.0,2025-05-07,11,활성
uc006,100,3325851.0,2022-08-02,1020,휴면
ji2105,127,3213754.0,2023-11-24,541,휴면
qyi2172,142,3198104.0,2023-10-11,585,휴면
uz01,14,3191960.0,2022-04-14,1130,휴면
ua2030,62,3185589.0,2022-10-12,949,휴면
ub020,49,3101047.0,2022-06-02,1081,휴면
pdh005,142,3100990.0,2022-09-20,971,휴면
abjua155,55,3058937.0,2023-04-29,750,휴면
uew005,100,2912700.0,2023-04-18,761,휴면
ub023,223,2869865.0,2022-09-12,979,휴면
pk4a102,71,2849677.0,2022-08-14,1008,휴면
ud3003,469,2821711.0,2025-01-19,119,휴면
ja2009,37,2797670.0,2023-07-13,675,휴면
obhn103,101,2796062.0,2025-05-07,11,활성
hh3202,138,2702342.0,2024-11-16,183,휴면
gg3832,66,2699209.0,2025-03-26,53,휴면
jua155,55,2683701.0,2022-09-21,970,휴면
ucw01,72,2656200.0,2023-01-12,857,휴면
abua01,14,2655540.0,2022-12-17,883,휴면
ph2003,126,2647168.0,2023-01-14,855,휴면
ji2146,201,2628871.0,2023-03-06,804,휴면
ya156,9,2608644.0,2022-09-14,977,휴면
dd2502,71,2596873.0,2023-07-12,676,휴면
mm3003,7,2583040.0,2023-10-01,595,휴면
ud3801,96,2566976.0,2025-05-07,11,활성
uh020,29,2559587.0,2022-08-28,994,휴면
jua167,144,2551905.0,2022-08-17,1005,휴면
mduew007,180,2536340.0,2025-04-25,23,활성
uzy03,161,2478877.0,2022-10-05,956,휴면
ub2005,169,2465787.0,2023-10-21,575,휴면
ui009,15,2461413.0,2022-05-28,1086,휴면
pn2001,116,2441625.0,2023-03-27,783,휴면
un003,47,2415087.0,2022-09-20,971,휴면
sm001,50,2377400.0,2025-04-26,22,활성
yaa197,8,2358023.0,2022-06-26,1057,휴면
gg3806,78,2348240.0,2025-04-16,32,휴면
jua239,8,2315276.0,2022-07-09,1044,휴면
uu05,80,2313570.0,2022-08-30,992,휴면
ya2008,153,2268306.0,2023-03-23,787,휴면
ubb006,8,2265050.0,2022-01-11,1223,휴면
ua029,40,2243100.0,2022-04-11,1133,휴면
udd007,39,2233860.0,2022-01-30,1204,휴면
hn2143,131,2226501.0,2023-11-23,542,휴면
uzz01,42,2211440.0,2022-08-29,993,휴면
kk3802,46,2185140.0,2024-07-24,298,휴면
py3004,116,2169685.0,2025-03-15,64,휴면
abli005,154,2169360.0,2024-08-15,276,휴면
ubbw003,52,2152300.0,2022-12-21,879,휴면
ui023,36,2110386.0,2022-06-18,1065,휴면
uc005,12,2102898.0,2022-06-03,1080,휴면
uq04,39,2084961.0,2022-08-23,999,휴면
yia162,111,2035107.0,2022-09-08,983,휴면
uew004,86,2026500.0,2023-04-21,758,휴면
abuh501,26,2025850.0,2024-08-27,264,휴면
mdpiw001,415,1966270.0,2025-05-08,10,활성
obud001,102,1936895.0,2025-05-07,11,활성
abjua001,39,1933658.0,2024-02-08,465,휴면
pa2022,75,1923385.0,2023-02-16,822,휴면
spi01,19,1922630.0,2025-02-05,102,휴면
ui013,42,1898469.0,2022-02-15,1188,휴면
yia125,43,1874494.0,2022-05-03,1111,휴면
mdjaw001,23,1874338.0,2025-03-05,74,휴면
un05,15,1871213.0,2022-09-06,985,휴면
yaa160,43,1853332.0,2022-09-06,985,휴면
ja2008,19,1848146.0,2023-09-20,606,휴면
mvp111,20,1827300.0,2023-08-03,654,휴면
xja3802,111,1796471.0,2025-05-05,13,활성
uq3808,15,1790111.0,2024-09-26,234,휴면
ablia003,28,1762286.0,2024-08-01,290,휴면
uz2001,10,1752689.0,2023-08-09,648,휴면
xgg3805,42,1750419.0,2024-11-28,171,휴면
qyi2111,140,1736392.0,2023-12-24,511,휴면
ubb005,19,1732368.0,2022-03-21,1154,휴면
ffw011,42,1731036.0,2024-03-27,417,휴면
mducw002,66,1726900.0,2025-04-10,38,휴면
uxx01,56,1722490.0,2022-07-18,1035,휴면
uyw002,64,1713373.0,2025-01-12,126,휴면
ee3804,10,1710209.0,2025-02-25,82,휴면
qja3126,81,1700073.0,2025-03-22,57,휴면
lia111,168,1692076.0,2022-10-05,956,휴면
uk008,188,1666083.0,2022-09-05,986,휴면
hh3805,48,1657998.0,2025-01-22,116,휴면
ui3023,52,1651584.0,2025-05-07,11,활성
mdugw005,75,1640070.0,2025-05-08,10,활성
qul3804,33,1607351.0,2025-04-30,18,활성
ph2007,71,1572368.0,2023-11-30,535,휴면
lila101,76,1571934.0,2022-07-31,1022,휴면
uk009,53,1562428.0,2022-02-05,1198,휴면
uh2015,41,1562404.0,2022-11-08,922,휴면
jua156,75,1540533.0,2022-09-12,979,휴면
qkk2500,35,1498743.0,2023-05-20,729,휴면
quf2507,12,1496246.0,2023-03-19,791,휴면
babya195,11,1489034.0,2023-12-30,505,휴면
qhn3143,127,1469876.0,2025-04-04,44,휴면
obja002,26,1461588.0,2025-03-19,60,휴면
mdvip03,20,1458700.0,2024-01-15,489,휴면
ddw999,49,1450000.0,2024-01-03,501,휴면
xja3230,37,1438820.0,2025-02-12,95,휴면
qkk2102,33,1433738.0,2023-06-08,710,휴면
ua017,17,1433151.0,2021-12-17,1248,휴면
obli005,133,1432103.0,2025-05-08,10,활성
abppf004,517,1418722.0,2023-04-30,749,휴면
uh2002,262,1416460.0,2023-05-01,748,휴면
abhn103,53,1411014.0,2024-05-22,361,휴면
ue3015,95,1409588.0,2025-04-24,24,활성
ee2002,122,1384827.0,2023-08-10,647,휴면
bb2003,79,1382097.0,2023-08-09,648,휴면
pi3812,31,1371155.0,2025-04-30,18,활성
pi009,18,1361475.0,2022-04-21,1123,휴면
ya2139,29,1349925.0,2023-09-17,609,휴면
yaaw06,199,1346341.0,2023-08-19,638,휴면
liaw004,605,1340334.0,2025-05-01,17,활성
pc009,8,1322093.0,2022-08-05,1017,휴면
minhonstay1,10,1321804.0,2022-02-15,1188,휴면
ui02,68,1302301.0,2022-09-20,971,휴면
yi3162,36,1279615.0,2025-05-02,16,활성
ukk001,76,1271181.0,2022-03-16,1159,휴면
abja155,119,1268644.0,2024-08-17,274,휴면
abaa101,14,1253455.0,2024-02-28,445,휴면
quh3501,14,1200029.0,2024-02-01,472,휴면
ud3805,70,1197322.0,2025-04-23,25,활성
ja3008,37,1194705.0,2023-09-20,606,휴면
um006,27,1169351.0,2022-01-18,1216,휴면
pv2001,191,1167479.0,2022-12-22,878,휴면
uh3803,55,1157566.0,2025-05-04,14,활성
qya2157,134,1157195.0,2023-07-26,662,휴면
gg2002,68,1148227.0,2023-10-16,580,휴면
ugg02,47,1141558.0,2022-10-04,957,휴면
ya3805,49,1141048.0,2025-05-08,10,활성
ua024,25,1120137.0,2022-07-19,1034,휴면
yaa06,37,1110408.0,2022-10-01,960,휴면
ud2001,74,1107374.0,2023-10-10,586,휴면
xya3189,114,1101779.0,2025-01-15,123,휴면
sm002,29,1101500.0,2025-05-08,10,활성
pplw010,62,1097000.0,2022-10-21,940,휴면
spt21,32,1096268.0,2025-04-20,28,활성
ub3104,199,1088766.0,2025-05-07,11,활성
qkk2101,31,1085308.0,2023-03-06,804,휴면
obnn005,40,1076513.0,2025-05-08,10,활성
udd008,43,1074480.0,2022-05-05,1109,휴면
ya3804,141,1065310.0,2025-05-07,11,활성
ugw002,14,1057800.0,2023-03-13,797,휴면
ua3801,86,1037440.0,2025-05-07,11,활성
ja2003,34,1037036.0,2023-08-01,656,휴면
ue2012,19,1034529.0,2022-11-05,925,휴면
abpq001,23,1015236.0,2023-10-14,582,휴면
ph2033,68,1008794.0,2022-11-01,929,휴면
ub2012,43,1001523.0,2023-06-28,690,휴면
xul3801,47,996826.0,2024-05-01,382,휴면
abya189,82,990244.0,2024-07-23,299,휴면
uk3003,210,989078.0,2025-03-16,63,휴면
uyyw003,31,978200.0,2023-01-26,843,휴면
aa3807,7,970650.0,2025-05-01,17,활성
yaa204,12,965377.0,2022-03-05,1170,휴면
abmm003,26,963339.0,2024-04-20,393,휴면
ug3808,22,959460.0,2025-03-15,64,휴면
pf007,53,959109.0,2022-09-21,970,휴면
qya3121,140,947246.0,2025-04-08,40,휴면
ul3801,175,936670.0,2025-04-24,24,활성
aa2101,38,921924.0,2023-09-24,602,휴면
uy03,20,902454.0,2022-08-28,994,휴면
xja3005,17,896768.0,2025-01-14,124,휴면
mdjaw210,27,891478.0,2025-05-07,11,활성
pm3801,53,886530.0,2025-04-17,31,휴면
ya2157,160,876166.0,2023-08-03,654,휴면
xaa3801,34,871893.0,2025-03-12,67,휴면
qpi3802,64,871359.0,2025-05-07,11,활성
liw301,110,866900.0,2024-02-21,452,휴면
xji3002,15,864631.0,2025-04-12,36,휴면
pdf001,123,853172.0,2022-10-05,956,휴면
jua146,65,848300.0,2022-09-17,974,휴면
ug3004,79,838947.0,2025-04-27,21,활성
ddw004,20,825300.0,2023-03-29,781,휴면
yaaw207,59,819348.0,2025-02-05,102,휴면
ya3022,8,816050.0,2024-01-11,493,휴면
uiw011,41,804652.0,2023-03-20,790,휴면
ub3025,46,801580.0,2025-04-11,37,휴면
ddw003,10,798600.0,2022-12-20,880,휴면
obli006,82,786386.0,2025-05-08,10,활성
ji3003,14,771864.0,2024-05-22,361,휴면
uh2007,17,766806.0,2023-03-03,807,휴면
ue016,11,766705.0,2021-11-20,1275,휴면
uq3022,160,766484.0,2025-04-20,28,활성
yiw001,115,750725.0,2023-06-19,699,휴면
py02,7,746942.0,2022-07-13,1040,휴면
hh3009,113,742683.0,2025-03-12,67,휴면
ji2107,305,739422.0,2023-07-13,675,휴면
jia104,110,736079.0,2022-09-24,967,휴면
pva01,16,735092.0,2022-07-10,1043,휴면
pw01,8,734013.0,2022-04-25,1119,휴면
ug3813,28,733806.0,2025-04-23,25,활성
ub2002,195,715797.0,2023-07-31,657,휴면
pva008,28,714517.0,2021-12-05,1260,휴면
pfw003,71,710834.0,2025-05-07,11,활성
obli001,21,707413.0,2025-05-07,11,활성
abpv001,246,701209.0,2024-08-21,270,휴면
hna135,20,700900.0,2022-05-25,1089,휴면
obpv001,231,691985.0,2025-05-08,10,활성
qya3504,12,689855.0,2024-06-09,343,휴면
mu3801,14,688003.0,2025-05-08,10,활성
ugg001,35,662922.0,2022-04-02,1142,휴면
unw003,62,660894.0,2024-12-05,164,휴면
xhn3104,74,657904.0,2025-03-12,67,휴면
obli303,15,649405.0,2025-02-05,102,휴면
hn2003,353,647211.0,2023-09-29,597,휴면
obya003,47,642598.0,2025-05-08,10,활성
jua177,68,638821.0,2022-10-03,958,휴면
yaa125,34,634685.0,2022-04-19,1125,휴면
yaa180,42,622616.0,2022-09-18,973,휴면
ubbw005,19,621100.0,2023-01-19,850,휴면
dd2004,40,617463.0,2023-09-13,613,휴면
mdxiaobai8899,11,604400.0,2025-05-08,10,활성
jia124c,7,602512.0,2022-01-02,1232,휴면
pd075,15,594126.0,2022-06-07,1076,휴면
uaa009,18,588747.0,2022-05-10,1104,휴면
uxx02,54,588168.0,2022-07-25,1028,휴면
ya3808,33,587016.0,2025-05-08,10,활성
yia127,13,580465.0,2021-11-17,1278,휴면
qhn3106,78,577160.0,2025-05-07,11,활성
yhn311,128,573712.0,2025-01-12,126,휴면
hna147,109,573674.0,2022-07-16,1037,휴면
ya2123,93,573332.0,2023-07-27,661,휴면
qpm3801,10,572901.0,2024-03-06,438,휴면
ji3149,65,571259.0,2025-04-23,25,활성
ue02,22,569648.0,2022-09-18,973,휴면
jua125,33,568908.0,2022-03-30,1145,휴면
ya3257,62,564935.0,2025-05-08,10,활성
uq3004,21,549717.0,2025-03-01,78,휴면
pl2013,55,549349.0,2023-12-10,525,휴면
quf2501,39,548208.0,2023-04-27,752,휴면
ph3002,32,540847.0,2024-11-07,192,휴면
uy3002,48,538632.0,2025-04-12,36,휴면
un3803,22,535611.0,2025-04-04,44,휴면
qja2126,12,533732.0,2023-10-21,575,휴면
qji2003,10,526766.0,2023-05-24,725,휴면
ja2005,32,524630.0,2023-07-21,667,휴면
ug2001,9,515101.0,2022-11-01,929,휴면
ui03,18,512209.0,2022-09-06,985,휴면
spt02,49,511090.0,2025-04-25,23,활성
lia102,18,509298.0,2022-06-10,1073,휴면
ugg003,31,507757.0,2022-04-04,1140,휴면
qya2121,47,507176.0,2023-10-31,565,휴면
ub025,37,503984.0,2022-08-18,1004,휴면
ja2132,37,502005.0,2022-10-31,930,휴면
xja3177,62,499137.0,2025-04-30,18,활성
ja2156,15,498307.0,2023-08-18,639,휴면
qya2503,48,497979.0,2023-05-01,748,휴면
gg3807,17,496129.0,2025-05-08,10,활성
ubb007,8,492280.0,2022-02-17,1186,휴면
uy002,98,489966.0,2022-09-21,970,휴면
ub09,11,486920.0,2022-09-21,970,휴면
ud2018,16,486219.0,2023-08-02,655,휴면
ug3812,21,486040.0,2025-04-30,18,활성
ptw002,22,476037.0,2023-11-29,536,휴면
yaa141,18,473902.0,2022-10-04,957,휴면
ubw002,27,473782.0,2023-11-16,549,휴면
lia106,33,472372.0,2021-12-20,1245,휴면
ub2026,9,471681.0,2023-07-29,659,휴면
mdnnw801,45,470595.0,2025-03-28,51,휴면
yiw008,21,468759.0,2023-06-15,703,휴면
obug003,70,468542.0,2025-05-08,10,활성
pdh002,29,468458.0,2022-06-10,1073,휴면
ja3169,35,463153.0,2024-06-19,333,휴면
ji2149,44,463032.0,2023-11-08,557,휴면
sji01,7,458387.0,2025-04-14,34,휴면
un3807,33,456392.0,2025-01-12,126,휴면
sdd01,8,452890.0,2025-02-01,106,휴면
wja007,86,448700.0,2024-07-10,312,휴면
ua031,9,447574.0,2022-04-22,1122,휴면
utt02,7,445189.0,2022-09-07,984,휴면
ja2177,37,441222.0,2023-01-15,854,휴면
jia154,22,441206.0,2022-04-21,1123,휴면
yi3801,21,441114.0,2025-04-30,18,활성
ppl003,24,439838.0,2022-08-19,1003,휴면
gua104,32,436778.0,2022-08-25,997,휴면
ub022,13,435204.0,2022-04-09,1135,휴면
ukk008,43,432459.0,2022-04-27,1117,휴면
li3119,20,432434.0,2024-06-25,327,휴면
abhn143,23,431352.0,2024-08-09,282,휴면
ub08,14,430098.0,2022-09-24,967,휴면
ja2103,11,425662.0,2022-10-25,936,휴면
abli001,29,424423.0,2025-04-02,46,휴면
lia120,46,421816.0,2022-04-16,1128,휴면
lx3801,82,420225.0,2025-05-08,10,활성
pi3108,15,419516.0,2024-07-21,301,휴면
ux01,33,419268.0,2022-06-02,1081,휴면
yi3175,97,417958.0,2025-04-25,23,활성
kk2106,265,409233.0,2024-01-03,501,휴면
qud2004,16,407304.0,2023-10-11,585,휴면
juaw013,26,402100.0,2022-11-09,921,휴면
qpm3502,16,400998.0,2025-01-12,126,휴면
dd2301,11,400273.0,2023-08-17,640,휴면
qli3120,16,400149.0,2024-11-26,173,휴면
pi3801,103,396557.0,2025-04-10,38,휴면
ya2189,41,396423.0,2023-06-18,700,휴면
que2007,19,393965.0,2023-03-31,779,휴면
qji3502,54,388043.0,2025-03-23,56,휴면
qpm2502,31,387427.0,2023-10-06,590,휴면
abgg002,32,384146.0,2024-04-03,410,휴면
pt3804,45,383659.0,2025-04-23,25,활성
pa2005,11,382250.0,2022-12-16,884,휴면
kk2102,172,378420.0,2024-02-13,460,휴면
pl3013,56,378341.0,2025-04-08,40,휴면
ffw001,30,375453.0,2023-03-30,780,휴면
kk2100,9,371782.0,2022-11-08,922,휴면
ug3804,35,370507.0,2025-03-13,66,휴면
sdd21,8,355099.0,2025-04-09,39,휴면
jua07,31,353815.0,2022-09-17,974,휴면
mdlilai888,11,350900.0,2024-12-19,150,휴면
abgg001,27,348963.0,2023-10-11,585,휴면
obuh501,31,345150.0,2025-02-18,89,휴면
yiw003,19,343564.0,2023-06-14,704,휴면
abee804,14,339525.0,2024-08-16,275,휴면
qyy2020,7,336777.0,2023-02-08,830,휴면
pi3805,71,334203.0,2025-04-30,18,활성
uew006,35,331900.0,2024-05-14,369,휴면
uhh009,23,329904.0,2022-07-31,1022,휴면
ja3205,41,327387.0,2025-03-12,67,휴면
hh2002,37,327332.0,2023-12-10,525,휴면
ug2002,24,323287.0,2023-03-28,782,휴면
ji3803,72,323133.0,2025-05-07,11,활성
hn5106,65,322550.0,2023-09-21,605,휴면
ua007,21,322128.0,2022-07-06,1047,휴면
aa3806,10,322037.0,2025-01-27,111,휴면
qja3125,91,321601.0,2025-03-22,57,휴면
jua123,59,321200.0,2022-08-30,992,휴면
abjua215,12,320876.0,2022-11-15,915,휴면
qud2011,61,320725.0,2023-04-17,762,휴면
qja2113,17,320630.0,2023-05-28,721,휴면
yaa168,11,320502.0,2022-02-10,1193,휴면
yaaw002,47,318554.0,2024-07-15,307,휴면
pva032,8,307340.0,2021-11-15,1280,휴면
gu2106,184,306049.0,2023-06-27,691,휴면
uu011,13,305037.0,2022-03-20,1155,휴면
hna119,26,300676.0,2022-08-20,1002,휴면
ff3802,34,298916.0,2025-02-13,94,휴면
sm003,11,294900.0,2025-05-08,10,활성
fea108,23,292534.0,2022-01-01,1233,휴면
pi3027,17,290742.0,2024-06-11,341,휴면
uq3002,9,285616.0,2023-11-02,563,휴면
ya3802,38,279394.0,2025-05-07,11,활성
un3808,26,277834.0,2024-10-06,224,휴면
yy3001,70,277779.0,2025-04-25,23,활성
uy001,16,275555.0,2022-06-18,1065,휴면
abhn2003,118,272715.0,2024-08-14,277,휴면
li3100,29,271567.0,2025-04-23,25,활성
hn3143,39,271134.0,2025-01-10,128,휴면
uyyw002,31,268031.0,2025-01-19,119,휴면
xuc3501,83,267913.0,2025-04-30,18,활성
ji3107,226,264716.0,2025-04-26,22,활성
pf3001,46,264312.0,2025-05-07,11,활성
un03,8,263427.0,2022-07-16,1037,휴면
pa2018,29,261559.0,2023-08-02,655,휴면
lia103,16,259523.0,2022-09-15,976,휴면
obhn2003,181,258937.0,2025-05-08,10,활성
mdyaw006,23,256800.0,2025-04-30,18,활성
ya3125,65,256792.0,2025-03-07,72,휴면
cc2030,7,256541.0,2023-01-11,858,휴면
uh2008,113,255000.0,2023-06-10,708,휴면
pa018,34,254677.0,2022-08-03,1019,휴면
mdpsw001,15,252706.0,2025-04-12,36,휴면
jua243,12,251440.0,2022-03-01,1174,휴면
ug3002,28,251046.0,2025-03-15,64,휴면
pplw009,12,250600.0,2022-10-05,956,휴면
yi3803,75,242353.0,2025-05-03,15,활성
uu013,33,242297.0,2022-07-14,1039,휴면
lia03,29,239152.0,2022-09-18,973,휴면
yi2175,43,237150.0,2023-08-23,634,휴면
abyia987,21,237070.0,2023-10-26,570,휴면
abli006,11,236061.0,2024-07-13,309,휴면
ubw004,23,233900.0,2024-01-28,476,휴면
dd2003,8,232273.0,2023-09-17,609,휴면
jua126,7,230880.0,2022-06-05,1078,휴면
